Bytes;Flows;Bits per second;Packets per second;Packets (default: input);Source IP address;Destination IP address;Source port;Destination port;Start time – first seen;End time – last seen;Duration;DNS question count;Source country;Destination country
17145324;1;457208;48;14626;10.100.38.242;10.100.56.38;50342;3000;2023-03-14 07:55:36.007;2023-03-14 08:00:36.007;300.000;0;0;0
17145324;1;457208;48;14626;10.100.38.242;10.100.56.38;50342;3000;2023-03-14 07:55:36.007;2023-03-14 08:00:36.007;300.000;0;0;0
17145324;1;457208;48;14626;10.100.38.242;10.100.56.38;50342;3000;2023-03-14 07:55:36.007;2023-03-14 08:00:36.007;300.000;0;0;0
17191880;1;458506;48;14668;10.100.38.242;10.100.39.105;44046;49;14.03.2023 7:55;14.03.2023 8:00;299.963;0;0;0
17191880;1;458506;48;14668;10.100.38.242;10.100.39.105;44046;49;14.03.2023 7:55;14.03.2023 8:00;299.963;0;0;0
17170096;1;457919;48;14650;10.100.38.242;10.100.39.200;47579;3000;14.03.2023 7:55;14.03.2023 8:00;299.967;0;0;0
17170096;1;457919;48;14650;10.100.38.242;10.100.39.200;47579;3000;14.03.2023 7:55;14.03.2023 8:00;299.967;0;0;0
17170096;1;457921;48;14650;10.100.38.242;10.100.39.200;47579;3000;14.03.2023 7:55;14.03.2023 8:00;299.966;0;0;0
17205512;1;458870;48;14696;10.100.38.242;10.100.39.100;44587;49;14.03.2023 7:55;14.03.2023 8:00;299.963;0;0;0
17205512;1;458870;48;14696;10.100.38.242;10.100.39.100;44587;49;14.03.2023 7:55;14.03.2023 8:00;299.963;0;0;0
17205512;1;458870;48;14696;10.100.38.242;10.100.39.100;44587;49;14.03.2023 7:55;14.03.2023 8:00;299.963;0;0;0
4979558;1;132967;15;4745;5.180.196.1;166.144.raabnet.net;1198;45201;2023-03-14 07:55:45.022;14.03.2023 8:00;299.595;0;203;203
4979558;1;132967;15;4745;5.180.196.1;166.144.raabnet.net;1198;45201;2023-03-14 07:55:45.022;14.03.2023 8:00;299.595;0;203;203
4979558;1;132967;15;4745;5.180.196.1;166.144.raabnet.net;1198;45201;2023-03-14 07:55:45.022;14.03.2023 8:00;299.595;0;203;203
1042140;1;27831;17;5138;166.144.raabnet.net;5.180.196.1;45201;1198;14.03.2023 7:55;14.03.2023 8:00;299.556;0;203;203
1042140;1;27831;17;5138;166.144.raabnet.net;5.180.196.1;45201;1198;14.03.2023 7:55;14.03.2023 8:00;299.556;0;203;203
1042140;1;27831;17;5138;166.144.raabnet.net;5.180.196.1;45201;1198;14.03.2023 7:55;14.03.2023 8:00;299.556;0;203;203
17215640;1;459125;49;14702;10.100.38.242;10.100.39.105;44046;49;14.03.2023 7:55;14.03.2023 8:00;299.973;0;0;0
987488;1;26333;13;4070;bohmalk-r5-eth1.infos.cz;5.180.196.1;34957;1198;14.03.2023 7:56;14.03.2023 8:01;299.999;0;203;203
987488;1;26333;13;4070;bohmalk-r5-eth1.infos.cz;5.180.196.1;34957;1198;14.03.2023 7:56;14.03.2023 8:01;299.999;0;203;203
987488;1;26333;13;4070;bohmalk-r5-eth1.infos.cz;5.180.196.1;34957;1198;14.03.2023 7:56;14.03.2023 8:01;299.999;0;203;203
2739294;1;73057;36;10938;5.180.196.1;37-48-48-233.nat.epc.tmcz.cz;1198;50525;2023-03-14 07:56:28.063;2023-03-14 08:01:28.024;299.961;0;203;203
2739294;1;73057;36;10938;5.180.196.1;37-48-48-233.nat.epc.tmcz.cz;1198;50525;2023-03-14 07:56:28.063;2023-03-14 08:01:28.024;299.961;0;203;203
2739294;1;73057;36;10938;5.180.196.1;37-48-48-233.nat.epc.tmcz.cz;1198;50525;2023-03-14 07:56:28.063;2023-03-14 08:01:28.024;299.961;0;203;203
3351204;1;89577;85;25572;37-48-48-233.nat.epc.tmcz.cz;5.180.196.1;50525;1198;2023-03-14 07:56:28.095;14.03.2023 8:01;299.289;0;203;203
3351204;1;89577;85;25572;37-48-48-233.nat.epc.tmcz.cz;5.180.196.1;50525;1198;2023-03-14 07:56:28.095;14.03.2023 8:01;299.289;0;203;203
3351204;1;89577;85;25572;37-48-48-233.nat.epc.tmcz.cz;5.180.196.1;50525;1198;2023-03-14 07:56:28.095;14.03.2023 8:01;299.289;0;203;203
6937828;1;185017;106;31954;78-137-139-106.cust.viatel.net;5.180.196.9;47714;26035;2023-03-14 07:56:50.049;2023-03-14 08:01:50.034;299.985;0;372;203
6937828;1;185017;106;31954;78-137-139-106.cust.viatel.net;5.180.196.9;47714;26035;2023-03-14 07:56:50.049;2023-03-14 08:01:50.034;299.985;0;372;203
6937828;1;185017;106;31954;78-137-139-106.cust.viatel.net;5.180.196.9;47714;26035;2023-03-14 07:56:50.049;2023-03-14 08:01:50.034;299.985;0;372;203
2731369;1;72858;49;14931;5.180.196.9;78-137-139-106.cust.viatel.net;26035;47714;2023-03-14 07:56:50.050;14.03.2023 8:01;299.911;0;203;372
2731369;1;72858;49;14931;5.180.196.9;78-137-139-106.cust.viatel.net;26035;47714;2023-03-14 07:56:50.050;14.03.2023 8:01;299.911;0;203;372
2731369;1;72858;49;14931;5.180.196.9;78-137-139-106.cust.viatel.net;26035;47714;2023-03-14 07:56:50.050;14.03.2023 8:01;299.911;0;203;372
3469727;1;92528;53;15980;78-137-139-106.cust.viatel.net;192.168.45.1;47714;60313;14.03.2023 7:56;14.03.2023 8:01;299.991;0;372;0
3469727;1;92528;53;15980;78-137-139-106.cust.viatel.net;192.168.45.1;47714;60313;14.03.2023 7:56;14.03.2023 8:01;299.991;0;372;0
3469727;1;92528;53;15980;78-137-139-106.cust.viatel.net;192.168.45.1;47714;60313;14.03.2023 7:56;14.03.2023 8:01;299.991;0;372;0
2732489;1;72868;49;14937;192.168.45.1;78-137-139-106.cust.viatel.net;60313;47714;14.03.2023 7:56;14.03.2023 8:01;299.993;0;0;372
2732489;1;72868;49;14937;192.168.45.1;78-137-139-106.cust.viatel.net;60313;47714;14.03.2023 7:56;14.03.2023 8:01;299.993;0;0;372
2732489;1;72868;49;14937;192.168.45.1;78-137-139-106.cust.viatel.net;60313;47714;14.03.2023 7:56;14.03.2023 8:01;299.993;0;0;372
18640056;1;497652;53;15897;192.168.4.242;192.168.50.205;60940;2809;2023-03-14 07:57:16.002;14.03.2023 8:02;299.648;0;0;0
18640056;1;497652;53;15897;192.168.4.242;192.168.50.205;60940;2809;2023-03-14 07:57:16.002;14.03.2023 8:02;299.648;0;0;0
5693275;1;153000;123;36621;46.252.224.14;5.180.196.1;58770;1198;14.03.2023 8:00;14.03.2023 8:05;297.686;0;203;203
5693275;1;153000;123;36621;46.252.224.14;5.180.196.1;58770;1198;14.03.2023 8:00;14.03.2023 8:05;297.686;0;203;203
5693275;1;153000;123;36621;46.252.224.14;5.180.196.1;58770;1198;14.03.2023 8:00;14.03.2023 8:05;297.686;0;203;203
49834399;1;1339332;123;36855;5.180.196.1;46.252.224.14;1198;58770;14.03.2023 8:00;14.03.2023 8:05;297.667;0;203;203
49834399;1;1339332;123;36855;5.180.196.1;46.252.224.14;1198;58770;14.03.2023 8:00;14.03.2023 8:05;297.667;0;203;203
49834399;1;1339332;123;36855;5.180.196.1;46.252.224.14;1198;58770;14.03.2023 8:00;14.03.2023 8:05;297.667;0;203;203
2348580;1;62714;19;5766;166.144.raabnet.net;5.180.196.1;45201;1198;14.03.2023 8:00;14.03.2023 8:05;299.590;0;203;203
25141128;1;670854;71;21586;10.100.38.242;10.100.39.105;44046;49;2023-03-14 08:00:48.007;14.03.2023 8:05;299.810;0;0;0
1296246;1;34566;15;4511;bohmalk-r5-eth1.infos.cz;5.180.196.1;34957;1198;14.03.2023 8:01;14.03.2023 8:06;300.000;0;203;203
1296246;1;34566;15;4511;bohmalk-r5-eth1.infos.cz;5.180.196.1;34957;1198;14.03.2023 8:01;14.03.2023 8:06;300.000;0;203;203
1296246;1;34566;15;4511;bohmalk-r5-eth1.infos.cz;5.180.196.1;34957;1198;14.03.2023 8:01;14.03.2023 8:06;300.000;0;203;203
4142417;1;110495;40;12278;5.180.196.1;37-48-48-233.nat.epc.tmcz.cz;1198;50525;14.03.2023 8:01;2023-03-14 08:06:28.062;299.916;0;203;203
4142417;1;110495;40;12278;5.180.196.1;37-48-48-233.nat.epc.tmcz.cz;1198;50525;14.03.2023 8:01;2023-03-14 08:06:28.062;299.916;0;203;203
4142417;1;110495;40;12278;5.180.196.1;37-48-48-233.nat.epc.tmcz.cz;1198;50525;14.03.2023 8:01;2023-03-14 08:06:28.062;299.916;0;203;203
7790163;1;208713;167;50134;37-48-48-233.nat.epc.tmcz.cz;5.180.196.1;50525;1198;14.03.2023 8:01;14.03.2023 8:06;298.598;0;203;203
7790163;1;208713;167;50134;37-48-48-233.nat.epc.tmcz.cz;5.180.196.1;50525;1198;14.03.2023 8:01;14.03.2023 8:06;298.598;0;203;203
7790163;1;208713;167;50134;37-48-48-233.nat.epc.tmcz.cz;5.180.196.1;50525;1198;14.03.2023 8:01;14.03.2023 8:06;298.598;0;203;203
6993638;1;186515;107;32388;78-137-139-106.cust.viatel.net;5.180.196.9;47714;26035;2023-03-14 08:01:50.060;2023-03-14 08:06:50.030;299.970;0;372;203
6993638;1;186515;107;32388;78-137-139-106.cust.viatel.net;5.180.196.9;47714;26035;2023-03-14 08:01:50.060;2023-03-14 08:06:50.030;299.970;0;372;203
6993638;1;186515;107;32388;78-137-139-106.cust.viatel.net;5.180.196.9;47714;26035;2023-03-14 08:01:50.060;2023-03-14 08:06:50.030;299.970;0;372;203
